OBJECTID,ain,SiteAddress,usecode,usetype,usedescription,Vacant_Use,unitstotal,MaxYear,SupDist2021,Submarket_Area,plng_area,Comm_Name,Plan_Name,LUP1,PctLUPArea1,LUP2,PctLUPArea2,LUP3,PctLUPArea3,LUP_Description,LUP_MinDens,LUP_MaxDens,P_LUP_FINAL,P_LUP_Description,P_LUP_FINAL_MinDens,P_LUP_FINAL_MaxDens,Zoning1,PctZngArea1,Zoning2,PctZngArea2,Zoning3,PctZngArea3,Zoning_Description,P_Zoning_FINAL,P_Zoning_Description,Acres,Max_Units_Allowed_Rounded,RHNA_Eligible,Capacity_Inc_Very_Low,Capacity_Inc_Low,Capacity_Inc_Mod,Capacity_Inc_Abv_Mod,Realistic_Capacity,Income_Categories,Consolidation_ID,Consolidation_Adj_APNs,Shape__Area,Shape__Length
2897,6021008019,1423 E 78TH ST LOS ANGELES CA 90001                                                 ,0300,Residential,Three Units (Any Combination),Non-Vacant,3,1930,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.150475,5,Yes,0,0,2,0,2,M,,,6554.6767578125,360.98358852995
2898,6021008020,1421 E 78TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1924,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.149381,5,Yes,0,0,4,0,4,M,,,6506.98046875,360.275882250185
2899,6021008021,1417 E 78TH ST LOS ANGELES CA 90001                                                 ,0300,Residential,Three Units (Any Combination),Non-Vacant,3,1987,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.150747,5,Yes,0,0,2,0,2,M,,,6566.5126953125,361.05626552835
2900,6021008022,1409 E 78TH ST LOS ANGELES CA 90001                                                 ,0200,Residential,Two Units,Non-Vacant,2,1993,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.152616,5,Yes,0,0,3,0,3,M,,,6647.9208984375,362.313678760065
2901,6021008023,1401 E 78TH ST LOS ANGELES CA 90001                                                 ,0500,Residential,Five or more apartments,Non-Vacant,5,1956,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.167195,6,Yes,0,0,1,0,1,M,,,7282.94921875,372.103833755362
2902,6021008034,1441 E 78TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1921,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.150599,5,Yes,0,0,4,0,4,M,,,6560.0439453125,361.181767536139
2903,6021009005,1518 E 78TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.137293,5,Yes,0,0,4,0,4,M,,,5980.458984375,358.536291506414
2904,6021009006,1522 E 78TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1925,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.137919,5,Yes,0,0,4,0,4,M,,,6007.755859375,359.013374305862
2905,6021009007,1526 E 78TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.137167,5,Yes,0,0,4,0,4,M,,,5974.951171875,358.524761414031
2906,6021009008,1530 E 78TH ST FLORENCE CA 90001                                                    ,0100,Residential,Single,Non-Vacant,1,1922,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.136255,5,Yes,0,0,4,0,4,M,,,5935.24609375,358.020256090435
2907,6021009009,1534 E 78TH ST LOS ANGELES CA 90001                                                 ,0200,Residential,Two Units,Non-Vacant,2,1946,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.137796,5,Yes,0,0,3,0,3,M,,,6002.3798828125,358.772357256384
2908,6021009010,1540 E 78TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1927,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.136121,5,Yes,0,0,4,0,4,M,,,5929.3837890625,357.755717178947
2909,6021009011,1544 E 78TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1922,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.137805,5,Yes,0,0,4,0,4,M,,,6002.72265625,358.771607655295
2910,6021009012,1546 E 78TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1926,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.143245,5,Yes,0,0,4,0,4,M,,,6239.7646484375,362.527955781997
2911,6021009013,1552 E 78TH ST LOS ANGELES CA 90001                                                 ,0200,Residential,Two Units,Non-Vacant,2,1953,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.130884,4,Yes,0,0,2,0,2,M,,,5701.271484375,334.344315976752
2912,6021009014,7809 MIRAMONTE BLVD LOS ANGELES CA 90001                                            ,0100,Residential,Single,Non-Vacant,1,1926,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.127712,4,Yes,0,0,3,0,3,M,,,5563.1552734375,339.025444904274
2913,6021009015,7813 MIRAMONTE BLVD LOS ANGELES CA 90001                                            ,0300,Residential,Three Units (Any Combination),Non-Vacant,3,1957,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.125786,4,Yes,0,0,1,0,1,M,,,5479.0712890625,337.502743549008
2914,6021010004,1518 E 77TH PL LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.131828,4,Yes,0,0,3,0,3,M,,,5742.416015625,348.017758368918
2915,6021010005,1522 E 77TH PL LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1925,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.131543,4,Yes,0,0,3,0,3,M,,,5729.9931640625,347.499012844281
2916,6021010006,1526 E 77TH PL LOS ANGELES CA 90001                                                 ,0300,Residential,Three Units (Any Combination),Non-Vacant,3,1959,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.130447,4,Yes,0,0,1,0,1,M,,,5682.265625,346.263606078712
2917,6021010007,1530 E 77TH PL LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1924,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.130909,4,Yes,0,0,3,0,3,M,,,5702.3828125,346.257158308536
2918,6021010008,1534 E 77TH PL LOS ANGELES CA 90001                                                 ,0200,Residential,Two Units,Non-Vacant,2,1940,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.130689,4,Yes,0,0,2,0,2,M,,,5692.78515625,345.782617092968
2919,6021010009,1538 E 77TH PL LOS ANGELES CA 90001                                                 ,0200,Residential,Two Units,Non-Vacant,2,1931,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.130543,4,Yes,0,0,2,0,2,M,,,5686.40625,345.514073784744
2920,6021010010,1542 E 77TH PL LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1925,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.129536,4,Yes,0,0,3,0,3,M,,,5642.568359375,344.505251377081
2921,6021010011,1548 E 77TH PL LOS ANGELES CA 90001                                                 ,0200,Residential,Two Units,Non-Vacant,2,1926,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.137264,5,Yes,0,0,3,0,3,M,,,5979.1796875,349.272422364388
2922,6021010012,7753 MIRAMONTE BLVD LOS ANGELES CA 90001                                            ,0200,Residential,Two Units,Non-Vacant,2,1949,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.150797,5,Yes,0,0,3,0,3,M,,,6568.673828125,347.762892392174
2923,6021010013,7757 MIRAMONTE BLVD LOS ANGELES CA 90001                                            ,0200,Residential,Two Units,Non-Vacant,2,1928,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.144696,5,Yes,0,0,3,0,3,M,,,6302.9384765625,350.255727450533
2924,6021010014,7763 MIRAMONTE BLVD LOS ANGELES CA 90001                                            ,0100,Residential,Single,Non-Vacant,1,1930,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.140397,5,Yes,0,0,4,0,4,M,,,6115.6884765625,347.246096310712
2925,6021010015,7767 MIRAMONTE BLVD LOS ANGELES CA 90001                                            ,0200,Residential,Two Units,Non-Vacant,2,1908,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.142797,5,Yes,0,0,3,0,3,M,,,6220.2392578125,348.775118511755
2926,6021010018,1549 E 78TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1922,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.136932,5,Yes,0,0,4,0,4,M,,,5964.7265625,349.263683893962
2927,6021010019,1545 E 78TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1924,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.129907,4,Yes,0,0,3,0,3,M,,,5658.7666015625,344.263146750294
2928,6021010020,1537 E 78TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.129795,4,Yes,0,0,3,0,3,M,,,5653.845703125,344.023889554907
2929,6021010021,1533 E 78TH ST LOS ANGELES CA 90001                                                 ,0200,Residential,Two Units,Non-Vacant,2,1963,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.129634,4,Yes,0,0,2,0,2,M,,,5646.818359375,343.742890005571
2930,6021010022,1529 E 78TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1922,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.129527,4,Yes,0,0,3,0,3,M,,,5642.173828125,343.51438255487
2931,6021010023,1525 E 78TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.129526,4,Yes,0,0,3,0,3,M,,,5642.125,343.511071653108
2932,6021010024,1521 E 78TH ST LOS ANGELES CA 90001                                                 ,0200,Residential,Two Units,Non-Vacant,2,1964,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.130141,4,Yes,0,0,2,0,2,M,,,5668.9306640625,343.763156658756
2933,6021010025,1519 E 78TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.128525,4,Yes,0,0,3,0,3,M,,,5598.5126953125,342.494858404202
2934,6021011007,1512 E 77TH ST LOS ANGELES CA 90001                                                 ,0200,Residential,Two Units,Non-Vacant,2,1948,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.132377,4,Yes,0,0,2,0,2,M,,,5766.322265625,349.270078936732
2935,6021011008,1520 E 77TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.131703,4,Yes,0,0,3,0,3,M,,,5736.9599609375,348.768421088635
2936,6021011009,1524 E 77TH ST LOS ANGELES CA 90001                                                 ,0200,Residential,Two Units,Non-Vacant,2,1925,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.132086,4,Yes,0,0,2,0,2,M,,,5753.63671875,348.528992860895
2937,6021011010,1528 E 77TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.130923,4,Yes,0,0,3,0,3,M,,,5702.9921875,347.243914178298
2938,6021011011,1532 E 77TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.130705,4,Yes,0,0,3,0,3,M,,,5693.48046875,346.77335676348
2939,6021011012,1538 E 77TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.130437,4,Yes,0,0,3,0,3,M,,,5681.822265625,346.263212450005
2940,6021011013,1542 E 77TH ST LOS ANGELES CA 90001                                                 ,0100,Residential,Single,Non-Vacant,1,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.130055,4,Yes,0,0,3,0,3,M,,,5665.158203125,345.506390248737
2941,6021011014,1546 E 77TH ST LOS ANGELES CA 90001                                                 ,0200,Residential,Two Units,Non-Vacant,2,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.138523,5,Yes,0,0,3,0,3,M,,,6034.0693359375,350.763802653096
2942,6021011015,7707 MIRAMONTE BLVD LOS ANGELES CA 90001                                            ,0200,Residential,Two Units,Non-Vacant,2,1935,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.154139,5,Yes,0,0,3,0,3,M,,,6714.2666015625,356.03002762117
2943,6021011016,7711 MIRAMONTE BLVD LOS ANGELES CA 90001                                            ,0100,Residential,Single,Non-Vacant,1,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.14234,5,Yes,0,0,4,0,4,M,,,6200.3076171875,348.011769982313
2944,6021011017,7715 MIRAMONTE BLVD LOS ANGELES CA 90001                                            ,0100,Residential,Single,Non-Vacant,1,1913,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.138795,5,Yes,0,0,4,0,4,M,,,6045.884765625,345.521925606667
2945,6021011018,7721 MIRAMONTE BLVD LOS ANGELES CA 90001                                            ,0200,Residential,Two Units,Non-Vacant,2,1963,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.143053,5,Yes,0,0,3,0,3,M,,,6231.3681640625,348.514688877653
2946,6021011019,7729 MIRAMONTE BLVD LOS ANGELES CA 90001                                            ,0300,Residential,Three Units (Any Combination),Non-Vacant,3,1947,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,100,,,,,R-3 - Limited Density Multiple Residence,RLM-2,Residential Low-Medium 2,0.147214,5,Yes,0,0,2,0,2,M,,,6412.62890625,344.677361348667
